baseline,strain,odds_ratio,conf_low,conf_high,p_value,p_adj
p25C2,∆epsE,Inf,131.28205128204826,Inf,1.0913312529929538e-18,3.8196593854753434e-18
p25C2,∆tagG,Inf,126.01025052418929,Inf,1.0913312529929553e-18,3.8196593854753434e-18
p25C2,∆spsA,Inf,78.3188858911685,Inf,3.601393134876737e-17,6.302437986034307e-17
p25C2,∆wfgD,Inf,75.68490325777209,Inf,3.601393134876747e-17,6.302437986034307e-17
p25C2,∆tagH,Inf,73.01475207759839,Inf,7.318960241846252e-17,1.0246544338584752e-16
p25C2,plainLB,Inf,0.5788251261579738,Inf,0.15127797290594824,0.17649096839027295
p25C2,∆rmlC,0,0,Inf,1,1
