DATE,METHOD,OD,STRAIN,GENOTYPE,TIME,ABS,LUX
20250530,Overnight,0.01,OBC,Single,0.25,0,7.75
20250530,Overnight,0.01,OBC,Single,0.50,0,4.25
20250530,Overnight,0.01,OBC,Single,0.75,0,2.75
20250530,Overnight,0.01,OBC,Single,1.00,5E-05,10.25
20250530,Overnight,0.01,OBC,Single,1.25,0.000325,7.25
20250530,Overnight,0.01,OBC,Single,1.50,0.0007,13.25
20250530,Overnight,0.01,OBC,Single,1.75,0.0012,19.25
20250530,Overnight,0.01,OBC,Single,2.00,0.001875,16
20250530,Overnight,0.01,OBC,Single,2.25,0.002575,15
20250530,Overnight,0.01,OBC,Single,2.50,0.0037,24.25
20250530,Overnight,0.01,OBC,Single,2.75,0.0052,31.75
20250530,Overnight,0.01,OBC,Single,3.00,0.006625,37.75
20250530,Overnight,0.01,OBC,Single,3.25,0.00855,28.75
20250530,Overnight,0.01,OBC,Single,3.50,0.01065,42
20250530,Overnight,0.01,OBC,Single,3.75,0.013625,54.75
20250530,Overnight,0.01,OBC,Single,4.00,0.01655,53.25
20250530,Overnight,0.01,OBC,Single,4.25,0.020425,75.5
20250530,Overnight,0.01,OBC,Single,4.50,0.02425,83.5
20250530,Overnight,0.01,OBC,Single,4.75,0.0291,99
20250530,Overnight,0.01,OBC,Single,5.00,0.034575,108.25
20250530,Overnight,0.01,OBC,Single,5.25,0.041,109.75
20250530,Overnight,0.01,OBC,Single,5.50,0.0464,155.5
20250530,Overnight,0.01,OBC,Single,5.75,0.052125,164.5
20250530,Overnight,0.01,OBC,Single,6.00,0.061,181.5
20250530,Overnight,0.01,OBC,Single,6.25,0.0663,185.25
20250530,Overnight,0.01,OBC,Single,6.50,0.07465,213.25
20250530,Overnight,0.01,OBC,Single,6.75,0.083175,229.5
20250530,Overnight,0.01,OBC,Single,7.00,0.0907,241
20250530,Overnight,0.01,OBC,Single,7.25,0.0977,250.25
20250530,Overnight,0.01,OBC,Single,7.50,0.103825,275
20250530,Overnight,0.01,OBC,Single,7.75,0.109675,306
20250530,Overnight,0.01,OBC,Single,8.00,0.115875,326
20250530,Overnight,0.01,OBC,Single,8.25,0.125875,325.5
20250530,Overnight,0.01,OBC,Single,8.50,0.139825,371.5
20250530,Overnight,0.01,OBC,Single,8.75,0.151325,403.75
20250530,Overnight,0.01,OBC,Single,9.00,0.159575,441
20250530,Overnight,0.01,OBC,Single,9.25,0.16855,467
20250530,Overnight,0.01,OBC,Single,9.50,0.177125,503.5
20250530,Overnight,0.01,OBC,Single,9.75,0.18665,534.25
20250530,Overnight,0.01,OBC,Single,10.00,0.1955,549.75
20250530,Overnight,0.01,OBC,Single,10.25,0.206525,579.5
20250530,Overnight,0.01,OBC,Single,10.50,0.21665,588
20250530,Overnight,0.01,OBC,Single,10.75,0.226575,581.5
20250530,Overnight,0.01,OBC,Single,11.00,0.23625,649.25
20250530,Overnight,0.01,OBC,Single,11.25,0.24645,678.75
20250530,Overnight,0.01,OBC,Single,11.50,0.255975,660.5
20250530,Overnight,0.01,OBC,Single,11.75,0.26535,713.5
20250530,Overnight,0.01,OBC,Single,12.00,0.272575,694.5
20250530,Overnight,0.01,OBC,Single,12.25,0.280825,692.25
20250530,Overnight,0.01,OBC,Single,12.50,0.29065,715.75
20250530,Overnight,0.01,OBC,Single,12.75,0.29835,712.25
20250530,Overnight,0.01,OBC,Single,13.00,0.305575,709
20250530,Overnight,0.01,OBC,Single,13.25,0.311125,700
20250530,Overnight,0.01,OBC,Single,13.50,0.316625,684
20250530,Overnight,0.01,OBC,Single,13.75,0.3216,715.25
20250530,Overnight,0.01,OBC,Single,14.00,0.3257,708
20250530,Overnight,0.01,OBC,Single,14.25,0.3298,717.25
20250530,Overnight,0.01,OBC,Single,14.50,0.3342,690.25
20250530,Overnight,0.01,OBC,Single,14.75,0.3386,703.25
20250530,Overnight,0.01,OBC,Single,15.00,0.344175,677
20250530,Overnight,0.01,OBC,Single,15.25,0.34975,673.5
20250530,Overnight,0.01,OBC,Single,15.50,0.35435,675.5
20250530,Overnight,0.01,OBC,Single,15.75,0.358325,657.25
20250530,Overnight,0.01,OBC,Single,16.00,0.36245,660
20250530,Overnight,0.01,OBC,Single,16.25,0.368275,667.5
20250530,Overnight,0.01,OBC,Single,16.50,0.37425,662.25
20250530,Overnight,0.01,OBC,Single,16.75,0.37985,654.25
20250530,Overnight,0.01,OBC,Single,17.00,0.386425,659.75
20250530,Overnight,0.01,OBC,Single,17.25,0.3924,653.5
20250530,Overnight,0.01,OBC,Single,17.50,0.395525,630
20250530,Overnight,0.01,OBC,Single,17.75,0.4015,637.25
20250530,Overnight,0.01,OBC,Single,18.00,0.406725,631
20250530,Overnight,0.01,OBC,Single,18.25,0.41235,625.5
20250530,Overnight,0.01,OBC,Single,18.50,0.417375,636.5
20250530,Overnight,0.01,OBC,Single,18.75,0.42065,617
20250530,Overnight,0.01,OBC,Single,19.00,0.422825,636.75
20250530,Overnight,0.01,OBC,Single,19.25,0.425125,586
20250530,Overnight,0.01,OBC,Single,19.50,0.426,610.5
20250530,Overnight,0.01,OBC,Single,19.75,0.42665,600.75
20250530,Overnight,0.01,OBC,Single,20.00,0.429,620.75
20250530,Overnight,0.01,OBC,Single,20.25,0.42925,587.25
20250530,Overnight,0.01,OBC,Single,20.50,0.43095,587.75
20250530,Overnight,0.01,OBC,Single,20.75,0.43045,604.5
20250530,Overnight,0.01,OBC,Single,21.00,0.43045,594.5
20250530,Overnight,0.01,OBC,Single,21.25,0.430725,600.5
20250530,Overnight,0.01,OBC,Single,21.50,0.432825,594.5
20250530,Overnight,0.01,OBC,Single,21.75,0.43555,577
20250530,Overnight,0.01,OBC,Single,22.00,0.4382,585
20250530,Overnight,0.01,OBC,Single,22.25,0.4421,575.75
20250530,Overnight,0.01,OBC,Single,22.50,0.446725,559
20250530,Overnight,0.01,OBC,Single,22.75,0.451,587.25
20250530,Overnight,0.01,OBC,Single,23.00,0.454425,562.25
20250530,Overnight,0.01,OBC,Single,23.25,0.4591,553.5
20250530,Overnight,0.01,OBC,Single,23.50,0.46385,555
20250530,Overnight,0.01,OBC,Single,23.75,0.469025,544
20250530,Overnight,0.01,OBC,Single,24.00,0.4745,568.25
20250530,Overnight,0.01,epsE,Single,0.00,0,0
20250530,Overnight,0.01,epsE,Single,0.25,0.00015,5
20250530,Overnight,0.01,epsE,Single,0.50,0.000125,12.5
20250530,Overnight,0.01,epsE,Single,0.75,0.0003,8.5
20250530,Overnight,0.01,epsE,Single,1.00,0.000775,4.75
20250530,Overnight,0.01,epsE,Single,1.25,0.0019,7.25
20250530,Overnight,0.01,epsE,Single,1.50,0.0034,15.25
20250530,Overnight,0.01,epsE,Single,1.75,0.005475,15.5
