ECOTYPE,DPI,TREATMENT,CONCENTRATION,PLANT,LEAF,CFU/LEAF,LOG10(CFU/LEAF)
Col-0,2,WT,10^7,2,2,9666666.667,6.985276743
Col-0,2,WT,10^7,3,1,130000,5.113943352
Col-0,2,WT,10^7,3,2,1400000,6.146128036
Col-0,2,WT,10^8,1,1,11333333.33,7.054357662
Col-0,2,WT,10^8,1,2,300000,5.477121255
Col-0,2,WT,10^8,2,1,366666.6667,5.56427143
Col-0,2,WT,10^8,2,2,1166666.667,6.06694679
Col-0,2,WT,10^8,3,1,866666.6667,5.937852093
Col-0,2,WT,10^8,3,2,400000,5.602059991
Col-0,2,wfgD,10^6,1,1,33.33333333,1.522878745
Col-0,2,wfgD,10^6,1,2,0,0
Col-0,2,wfgD,10^6,2,1,3333.333333,3.522878745
Col-0,2,wfgD,10^6,2,2,500,2.698970004
Col-0,2,wfgD,10^6,3,1,0,0
Col-0,2,wfgD,10^6,3,2,566.6666667,2.753327667
Col-0,2,wfgD,10^7,1,1,1333.333333,3.124938737
Col-0,2,wfgD,10^7,1,2,2566.666667,3.40936947
Col-0,2,wfgD,10^7,2,1,2366.666667,3.374137094
Col-0,2,wfgD,10^7,2,2,533.3333333,2.726998728
Col-0,2,wfgD,10^7,3,1,1150,3.06069784
Col-0,2,wfgD,10^7,3,2,450,2.653212514
Col-0,2,wfgD,10^8,1,1,19666.66667,4.293730757
Col-0,2,wfgD,10^8,1,2,1400,3.146128036
Col-0,2,wfgD,10^8,2,1,1966.666667,3.293730757
Col-0,2,wfgD,10^8,2,2,5000,3.698970004
Col-0,2,wfgD,10^8,3,1,5000,3.698970004
Col-0,2,wfgD,10^8,3,2,9000,3.954242509
Col-0,5,Mock,-,1,1,0,0
Col-0,5,Mock,-,1,2,0,0
Col-0,5,Mock,-,2,1,0,0
Col-0,5,Mock,-,2,2,0,0
Col-0,5,Mock,-,3,1,0,0
Col-0,5,Mock,-,3,2,0,0
Col-0,5,WT,10^6,1,1,66666.66667,4.823908741
Col-0,5,WT,10^6,1,2,466666.6667,5.669006781
Col-0,5,WT,10^6,2,1,96666.66667,4.985276743
Col-0,5,WT,10^6,2,2,700000,5.84509804
Col-0,5,WT,10^6,3,1,63333.33333,4.801632346
Col-0,5,WT,10^6,3,2,196666.6667,5.293730757
Col-0,5,WT,10^7,1,1,5666.666667,3.753327667
Col-0,5,WT,10^7,1,2,27666.66667,4.441956838
Col-0,5,WT,10^7,2,1,866666.6667,5.937852093
Col-0,5,WT,10^7,2,2,766666.6667,5.884606581
Col-0,5,WT,10^7,3,1,166666.6667,5.22184875
Col-0,5,WT,10^7,3,2,1200000,6.079181246
Col-0,5,WT,10^8,1,1,500000,5.698970004
Col-0,5,WT,10^8,1,2,183333.3333,5.263241435
Col-0,5,WT,10^8,2,1,256666.6667,5.40936947
Col-0,5,WT,10^8,2,2,1933333.333,6.286306739
Col-0,5,WT,10^8,3,1,1900000,6.278753601
Col-0,5,WT,10^8,3,2,2300000,6.361727836
Col-0,5,wfgD,10^6,1,1,266.6666667,2.425968732
Col-0,5,wfgD,10^6,1,2,4333.333333,3.636822098
Col-0,5,wfgD,10^6,2,1,1533.333333,3.185636577
Col-0,5,wfgD,10^6,2,2,1833.333333,3.263241435
Col-0,5,wfgD,10^6,3,1,33.33333333,1.522878745
Col-0,5,wfgD,10^6,3,2,200,2.301029996
Col-0,5,wfgD,10^7,1,1,24333.33333,4.386201605
Col-0,5,wfgD,10^7,1,2,5666.666667,3.753327667
Col-0,5,wfgD,10^7,2,1,3333.333333,3.522878745
Col-0,5,wfgD,10^7,2,2,2666.666667,3.425968732
Col-0,5,wfgD,10^7,3,1,1333.333333,3.124938737
Col-0,5,wfgD,10^7,3,2,1666.666667,3.22184875
Col-0,5,wfgD,10^8,1,1,12000,4.079181246
Col-0,5,wfgD,10^8,1,2,3666.666667,3.56427143
Col-0,5,wfgD,10^8,2,1,140000,5.146128036
Col-0,5,wfgD,10^8,2,2,22333.33333,4.348953548
Col-0,5,wfgD,10^8,3,1,3000,3.477121255
Col-0,5,wfgD,10^8,3,2,11000,4.041392685
