File_Name,Well,Phenotype
Col0_R1_P4,A4,NOTHING
Col0_R1_P4,A5,NOTHING
Col0_R1_P4,A6,NOTHING
Col0_R1_P4,B1,NOTHING
Col0_R1_P4,B2,NOTHING
Col0_R1_P4,B3,D
Col0_R1_P4,B4,NOTHING
Col0_R1_P4,B5,NOTHING
Col0_R1_P4,B6,D
Col0_R1_P4,C1,D
Col0_R1_P4,C2,D
Col0_R1_P4,C3,B
Col0_R1_P4,C4,B
Col0_R1_P4,C5,B
Col0_R1_P4,C6,B
Col0_R1_P4,D1,NOTHING
Col0_R1_P4,D2,B
Col0_R1_P4,D3,D
Col0_R1_P4,D4,B
Col0_R1_P4,D5,B
Col0_R1_P4,D6,B
Col0_R1_P5,A1,NOTHING
Col0_R1_P5,A2,NOTHING
Col0_R1_P5,A3,B
Col0_R1_P5,A4,B
Col0_R1_P5,A5,B
Col0_R1_P5,A6,B
Col0_R1_P5,B1,B
Col0_R1_P5,B2,NOTHING
Col0_R1_P5,B3,B
Col0_R1_P5,B4,B
Col0_R1_P5,B5,B
Col0_R1_P5,B6,B
Col0_R1_P5,C1,B
Col0_R1_P5,C2,B
Col0_R1_P5,C3,B
Col0_R1_P5,C4,B
Col0_R1_P5,C5,X
Col0_R1_P5,C6,S
Col0_R1_P5,D1,B
Col0_R1_P5,D2,B
Col0_R1_P5,D3,B
Col0_R1_P5,D4,NOTHING
Col0_R1_P5,D5,D
Col0_R1_P5,D6,NOTHING
Col0_R1_P6,A1,NOTHING
Col0_R1_P6,A2,X
Col0_R1_P6,A3,NOTHING
Col0_R1_P6,A4,NOTHING
Col0_R1_P6,A5,NOTHING
Col0_R1_P6,A6,NOTHING
Col0_R1_P6,B1,NOTHING
Col0_R1_P6,B2,B
Col0_R1_P6,B3,S
Col0_R1_P6,B4,S
Col0_R1_P6,B5,B
Col0_R1_P6,B6,B
Col0_R1_P6,C1,B
Col0_R1_P6,C2,NOTHING
Col0_R1_P6,C3,B
Col0_R1_P6,C4,NOTHING
Col0_R1_P6,C5,B
Col0_R1_P6,C6,NOTHING
Col0_R1_P6,D1,B
Col0_R1_P6,D2,NOTHING
Col0_R1_P6,D3,NOTHING
Col0_R1_P6,D4,B
Col0_R1_P6,D5,B
Col0_R1_P6,D6,NOTHING
Col0_R1_P7,A1,X
Col0_R1_P7,A2,NOTHING
Col0_R1_P7,A3,NOTHING
Col0_R1_P7,A4,X
Col0_R1_P7,A5,D
Col0_R1_P7,A6,NOTHING
Col0_R1_P7,B1,S
Col0_R1_P7,B2,NOTHING
Col0_R1_P7,B3,S
Col0_R1_P7,B4,NOTHING
Col0_R1_P7,B5,B
Col0_R1_P7,B6,B
Col0_R1_P7,C1,D
Col0_R1_P7,C2,B
Col0_R1_P7,C3,S
Col0_R1_P7,C4,NOTHING
Col0_R1_P7,C5,B
Col0_R1_P7,C6,B
Col0_R1_P7,D1,B
Col0_R1_P7,D2,NOTHING
Col0_R1_P7,D3,D
Col0_R1_P7,D4,NOTHING
Col0_R1_P7,D5,B
