file_name,Well,strain
Col0_R2_P1,B2,WT
Col0_R2_P1,B3,buffer
Col0_R2_P1,B4,OBC
Col0_R2_P1,B5,wfgD
Col0_R2_P1,B6,rmlC
Col0_R2_P1,C1,tagG
Col0_R2_P1,C2,OBC
Col0_R2_P1,C3,epsE
Col0_R2_P1,C4,rmlC
Col0_R2_P1,C5,RmlC-FS
Col0_R2_P1,C6,rmlC
Col0_R2_P1,D1,epsE
Col0_R2_P1,D2,OBC
Col0_R2_P1,D3,tagG
Col0_R2_P1,D4,RmlC-FS
Col0_R2_P1,D5,tagG
Col0_R2_P1,D6,epsE
Eyach_R1_P2,A1,wfgD
Eyach_R1_P2,A2,buffer
Eyach_R1_P2,A3,RmlC-FS
Eyach_R1_P2,A4,RmlC-FS
Eyach_R1_P2,A5,rmlC
Eyach_R1_P2,A6,OBC
Eyach_R1_P2,B1,buffer
Eyach_R1_P2,B2,wfgD
Eyach_R1_P2,B3,RmlC-FS
Eyach_R1_P2,B4,WT
Eyach_R1_P2,B5,RmlC-FS
Eyach_R1_P2,B6,wfgD
Eyach_R1_P2,C1,tagG
Eyach_R1_P2,C2,OBC
Eyach_R1_P2,C3,rmlC
Eyach_R1_P2,C4,epsE
Eyach_R1_P2,C5,buffer
Eyach_R1_P2,C6,tagG
Eyach_R1_P2,D1,wfgD
Eyach_R1_P2,D2,epsE
Eyach_R1_P2,D3,OBC
Eyach_R1_P2,D4,WT
Eyach_R1_P2,D5,WT
Eyach_R1_P2,D6,wfgD
Col0_R2_P4,A1,buffer
Col0_R2_P4,A2,WT
Col0_R2_P4,A3,buffer
Col0_R2_P4,A4,epsE
Col0_R2_P4,A5,rmlC
Col0_R2_P4,A6,WT
Col0_R2_P4,B1,epsE
Col0_R2_P4,B2,tagG
Col0_R2_P4,B3,WT
Col0_R2_P4,B4,OBC
Col0_R2_P4,B5,RmlC-FS
Col0_R2_P4,B6,WT
Col0_R2_P4,C1,RmlC-FS
Col0_R2_P4,C2,buffer
Col0_R2_P4,C3,wfgD
Col0_R2_P4,C5,tagG
Col0_R2_P4,C6,wfgD
Col0_R2_P4,D1,wfgD
Col0_R2_P4,D3,epsE
Col0_R2_P4,D4,rmlC
Col0_R2_P4,D5,tagG
Col0_R2_P4,D6,WT
Eyach_R1_P3,A1,wfgD
Eyach_R1_P3,A2,RmlC-FS
Eyach_R1_P3,A3,WT
Eyach_R1_P3,A4,rmlC
Eyach_R1_P3,A5,WT
Eyach_R1_P3,A6,wfgD
Eyach_R1_P3,B1,tagG
Eyach_R1_P3,B2,RmlC-FS
Eyach_R1_P3,B3,epsE
Eyach_R1_P3,B4,buffer
Eyach_R1_P3,B5,WT
Eyach_R1_P3,B6,wfgD
Eyach_R1_P3,C1,rmlC
Eyach_R1_P3,C2,OBC
Eyach_R1_P3,C3,epsE
Eyach_R1_P3,C4,epsE
Eyach_R1_P3,C5,WT
Eyach_R1_P3,C6,OBC
Eyach_R1_P3,D1,rmlC
Eyach_R1_P3,D2,OBC
Eyach_R1_P3,D3,WT
Eyach_R1_P3,D4,wfgD
Eyach_R1_P3,D5,wfgD
Eyach_R1_P3,D6,OBC
Eyach_R1_P1,A1,buffer
Eyach_R1_P1,A2,tagG
Eyach_R1_P1,A3,tagG
Eyach_R1_P1,A4,epsE
Eyach_R1_P1,A5,WT
Eyach_R1_P1,A6,wfgD
Eyach_R1_P1,B1,OBC
Eyach_R1_P1,B2,buffer
Eyach_R1_P1,B3,RmlC-FS
Eyach_R1_P1,B4,epsE
Eyach_R1_P1,B5,tagG
Eyach_R1_P1,B6,rmlC
Eyach_R1_P1,C1,buffer
Eyach_R1_P1,C2,tagG
Eyach_R1_P1,C3,WT
Eyach_R1_P1,C4,WT
Eyach_R1_P1,C5,rmlC
Eyach_R1_P1,C6,tagG
Eyach_R1_P1,D1,OBC
Eyach_R1_P1,D2,OBC
Eyach_R1_P1,D3,epsE
Eyach_R1_P1,D4,rmlC
Eyach_R1_P1,D5,RmlC-FS
Eyach_R1_P1,D6,buffer
Eyach_R4_P1,A1,spsA
Eyach_R4_P1,A2,epsE
Eyach_R4_P1,A3,spsA
Eyach_R4_P1,A4,tagH
Eyach_R4_P1,A5,OBC
Eyach_R4_P1,B2,rmlC
Eyach_R4_P1,B3,wfgD
Eyach_R4_P1,B5,wfgD
Eyach_R4_P1,B6,RmlC-FS
Eyach_R4_P1,C1,wfgD
Eyach_R4_P1,C2,rmlC
Eyach_R4_P1,C3,buffer
Eyach_R4_P1,C5,OBC
Eyach_R4_P1,C6,spsA
Eyach_R4_P1,D2,OBC
Eyach_R4_P1,D3,tagG
Eyach_R4_P1,D4,OBC
Eyach_R4_P1,D5,tagH
Eyach_R4_P2,A2,OBC
Eyach_R4_P2,A3,WT
Eyach_R4_P2,A4,buffer
Eyach_R4_P2,A5,OBC
Eyach_R4_P2,A6,tagH
Eyach_R4_P2,B1,rmlC
