Well,Sample,Name,Replicate,Target,HPI,Treatment,Cq,Eff,NE_ref_mean,NE_target,NE_baseline,NE_fc
L02,14,72hpi-tagG,1,WRKY29,72,tagG,26.66,2.044527429769722,2.7400262547845202e-8,0.19135396043105035,0.4436679469447297,0.431299943457237
L03,23,24hpi-OBC,1,WRKY29,24,OBC,27.78,2.0613673981549345,2.0310132632237667e-8,0.09226779495856773,0.18969744345147538,0.4863945094872606
L04,32,0hpi-tagG,1,WRKY29,0,tagG,26.92,2.0501854805221296,5.124024626185945e-9,0.7887095497159374,0.5249638019540435,1.5024074932027083
L07,14,72hpi-tagG,2,WRKY29,72,tagG,27.12,1.9295519082701589,2.7400262547845202e-8,0.6617072740254376,0.4436679469447297,1.491447102686168
L08,23,24hpi-OBC,2,WRKY29,24,OBC,27.45,2.097865271649681,2.0310132632237667e-8,0.07235895643814495,0.18969744345147538,0.3814440253996063
L09,32,0hpi-tagG,2,WRKY29,0,tagG,26.87,2.0163997469010013,5.124024626185945e-9,1.2776580314363317,0.5249638019540435,2.433802152987647
L10,40,24hpi-tagG,2,WRKY29,24,tagG,28.26,1.9319659884951959,5.787595469150182e-9,1.4294093690879808,0.18969744345147538,7.5352062899763
L11,06,10hpi-Mock,3,WRKY29,10,Mock,27.54,2.0859553675755573,5.842032574890381e-9,0.27528085098562166,0.49095025781549406,0.5607102687154022
L12,14,72hpi-tagG,3,WRKY29,72,tagG,27.33,1.9278744325533588,2.7400262547845202e-8,0.5902598031584959,0.4436679469447297,1.3304089403421067
L13,23,24hpi-OBC,3,WRKY29,24,OBC,27.79,2.0330316831405204,2.0310132632237667e-8,0.13457407410620117,0.18969744345147538,0.7094142738967657
L14,32,0hpi-tagG,3,WRKY29,0,tagG,26.63,2.111329856999661,5.124024626185945e-9,0.4440788964593314,0.5249638019540435,0.8459228899332893
L15,40,24hpi-tagG,3,WRKY29,24,tagG,27.97,2.040809356630254,5.787595469150182e-9,0.37353188225085204,0.18969744345147538,1.9690928641660979
M01,07,10hpi-WT,1,FRK1,10,WT,25.45,1.945339671897343,1.934075039425641e-8,2.283455964275365,1.404472548587301,1.6258459209987377
M02,16,0hpi-Mock,1,FRK1,0,Mock,26.56,2.146508786941473,1.588743027143832e-8,0.09730308507825629,0.278147807355142,0.34982510199700656
M03,24,24hpi-rmlC,1,FRK1,24,rmlC,25,2.035510080834911,4.7862691448454064e-8,0.40102499726773966,0.402089824824519,0.9973517669658911
M04,33,2hpi-OBC,1,FRK1,02,OBC,24.34,1.9628158841741252,1.8850118712293753e-8,3.944548731750671,0.9551262539674756,4.129871538307639
M05,07,10hpi-WT,2,FRK1,10,WT,25.93,2.018106884998146,1.934075039425641e-8,0.6402130258477446,1.404472548587301,0.4558387606021261
M06,41,48hpi-Mock,1,FRK1,48,Mock,25.93,1.982395005867396,2.9694786538589063e-8,0.6624880326890281,0.7500473443213371,0.8832616203560656
M07,16,0hpi-Mock,2,FRK1,0,Mock,27.22,2.005939695144631,1.588743027143832e-8,0.37141021981542816,0.278147807355142,1.3352980321761363
M08,24,24hpi-rmlC,2,FRK1,24,rmlC,24.98,2.0627527307792626,4.7862691448454064e-8,0.291818323880515,0.402089824824519,0.7257540625602029
M09,33,2hpi-OBC,2,FRK1,02,OBC,24.14,2.012317645822043,1.8850118712293753e-8,2.4742953756322077,0.9551262539674756,2.5905427322872683
M12,16,0hpi-Mock,3,FRK1,0,Mock,26.9,1.9874383959781625,1.588743027143832e-8,0.5954515941885138,0.278147807355142,2.140774000164003
M13,24,24hpi-rmlC,3,FRK1,24,rmlC,25.05,2.0124606865776324,4.7862691448454064e-8,0.5147915193417887,0.402089824824519,1.2802898446048845
M14,33,2hpi-OBC,3,FRK1,02,OBC,23.79,2.1487563012889757,1.8850118712293753e-8,0.6636716953755589,0.9551262539674756,0.6948523220032422
M15,41,48hpi-Mock,3,FRK1,48,Mock,25.64,1.97854691367085,2.9694786538589063e-8,0.8491791413046722,0.7500473443213371,1.1321673861441803
N01,07,10hpi-WT,1,WRKY29,10,WT,26.5,2.0441209540021,1.934075039425641e-8,0.30556389768608355,0.49095025781549406,0.6223927838345666
