HPI,Treatment,Name,Target,Baseline,n_replicates,Samples,mean_log_MNE_fc,MNE_fc_global,se_log_MNE_fc,se_MNE_fc_global
0,tagG,0hpi-tagG,PAD3,Time0,3,"32,97,51",0,1,0,0
0,tagG,0hpi-tagG,PDF1.2,Mock,3,"32,51,97",1.5457429772291125,4.691455977427836,2.3443947090453707,44.22616536768677
0,tagG,0hpi-tagG,PDF1.2,Time0,3,"32,51,97",0,1,0,0
0,tagG,0hpi-tagG,PR1,Mock,3,32,-7.091678117143066,8.319999999999997e-4,NA,NA
0,tagG,0hpi-tagG,PR1,Time0,3,"32,51,97",0,1,0,0
0,tagG,0hpi-tagG,WRKY29,Mock,3,"32,51,97",0.3417966879350864,1.407474111954586,0.35530106956515217,0.6004426695567708
0,tagG,0hpi-tagG,WRKY29,Time0,3,"32,51,97",0,1,0,0
0,wfgD,0hpi-wfgD,FRK1,Mock,3,"18,60,128",0.5624623338304239,1.7549885520189419,0.8669018534845191,2.4210546144078693
0,wfgD,0hpi-wfgD,FRK1,Time0,3,"18,60,128",0,1,0,0
0,wfgD,0hpi-wfgD,NHL10,Mock,3,"18,128,60",0.01702163729778524,1.0171673308395723,0.7264944259436367,1.086150596383165
0,wfgD,0hpi-wfgD,NHL10,Time0,3,"18,128,60",0,1,0,0
0,wfgD,0hpi-wfgD,PAD3,Mock,3,"18,128,60",1.0082155951650669,2.7407061198270646,1.0392675682001917,5.007669030528149
0,wfgD,0hpi-wfgD,PAD3,Time0,3,"18,128,60",0,1,0,0
0,wfgD,0hpi-wfgD,PDF1.2,Mock,3,"18,60,128",-0.5988246967343968,0.5494570353977906,1.1299213261897973,1.1513393943713885
0,wfgD,0hpi-wfgD,PDF1.2,Time0,3,"18,60,128",0,1,0,0
0,wfgD,0hpi-wfgD,PR1,Mock,3,18,1.1648434998347557,3.205421195,NA,NA
0,wfgD,0hpi-wfgD,PR1,Time0,3,"18,60,128",0,1,0,0
0,wfgD,0hpi-wfgD,WRKY29,Mock,3,"18,60,128",0.4919277290409508,1.635465918243639,0.815100291953551,2.0597094749850613
0,wfgD,0hpi-wfgD,WRKY29,Time0,3,"18,60,128",0,1,0,0
2,Mock,2hpi-Mock,FRK1,Mock,3,"19,57,120",0,1,0,0
2,Mock,2hpi-Mock,FRK1,Time0,3,"19,57,120",1.3694263538348015,3.933093844014285,0.47441654464840005,2.387687927183917
2,Mock,2hpi-Mock,NHL10,Mock,3,"19,120,57",0,1,0,0
2,Mock,2hpi-Mock,NHL10,Time0,3,"19,120,57",-1.368812600819465,0.2544088651541015,0.9101225126940952,0.37770224813295045
2,Mock,2hpi-Mock,PAD3,Mock,3,"19,120,57",0,1,0,0
2,Mock,2hpi-Mock,PAD3,Time0,3,"19,120,57",-0.35043586240099867,0.7043810096031732,0.3184624854636609,0.26415135743068363
2,Mock,2hpi-Mock,PDF1.2,Mock,3,"19,57,120",0,1,0,0
2,Mock,2hpi-Mock,PDF1.2,Time0,3,"19,57,120",-0.35648966541059735,0.7001297069852831,0.34107050776410086,0.28456940194225133
2,Mock,2hpi-Mock,PR1,Mock,3,"19,57,120",0,1,0,0
2,Mock,2hpi-Mock,PR1,Time0,3,19,-2.5368847554473786,0.079112471,NA,NA
2,Mock,2hpi-Mock,WRKY29,Mock,3,"19,57,120",0,1,0,0
2,Mock,2hpi-Mock,WRKY29,Time0,3,"19,57,120",0.6648071299170418,1.9441155234527683,0.660262647872421,1.8183323576839034
2,OBC,2hpi-OBC,FRK1,Mock,3,"33,69,95",0.24575925334944915,1.2785917198118812,0.36496160959090573,0.5631668560583211
2,OBC,2hpi-OBC,FRK1,Time0,3,"33,69,95",2.276338690969029,9.740950410450656,0.17995844343212689,1.9205999301715702
2,OBC,2hpi-OBC,NHL10,Mock,3,"33,95,69",1.0065923840377369,2.7362609838297356,0.9623080927354541,4.426535512077242
2,OBC,2hpi-OBC,NHL10,Time0,3,"33,95,69",0.06230373242647986,1.0642855536747151,0.07247369652782537,0.07999651827452443
2,OBC,2hpi-OBC,PAD3,Mock,3,"33,95,69",1.7390775454653828,5.692090305649785,0.46281636679515514,3.350031973652452
2,OBC,2hpi-OBC,PAD3,Time0,3,"33,95,69",1.885929893278975,6.592481897241826,0.23219804577401781,1.723073782908387
2,OBC,2hpi-OBC,PDF1.2,Mock,3,"33,69,95",1.1989126758622861,3.316508841398867,0.5758953454447332,2.5826396753822687
2,OBC,2hpi-OBC,PDF1.2,Time0,3,"33,69,95",-0.5670093196519168,0.567219276116037,0.8941771540203193,0.8198149735473522
2,OBC,2hpi-OBC,PR1,Mock,3,"33,69,95",0.05667304095144943,1.058309729879152,0.40846330911547357,0.5339215450486583
2,OBC,2hpi-OBC,PR1,Time0,3,33,5.120902303204696,167.48642499999994,NA,NA
2,OBC,2hpi-OBC,WRKY29,Mock,3,"33,69,95",0.39016905487027187,1.4772305057860584,0.08898178738453616,0.1374721767969971
2,OBC,2hpi-OBC,WRKY29,Time0,3,"33,69,95",0.8733202140906098,2.394849079585725,0.33028431873296804,0.9372569080851684
2,WT,2hpi-WT,FRK1,Mock,3,"2,75,101",0.9986319467413068,2.714565616712966,0.4662941680471624,1.6126578939518803
2,WT,2hpi-WT,FRK1,Time0,3,"2,75,101",3.068796197682946,21.51598608500377,0.6973444157757684,21.696980967336827
2,WT,2hpi-WT,NHL10,Mock,3,"2,101,75",0.9005950355008222,2.461067097844851,0.6652208969325605,2.325511770104746
2,WT,2hpi-WT,NHL10,Time0,3,"2,101,75",-0.2702613652948259,0.7631799995019006,0.8949944421952646,1.104567346477039
2,WT,2hpi-WT,PAD3,Mock,3,"2,101,75",1.119328662996929,3.062797343757523,1.5113712748904922,10.82068673483173
2,WT,2hpi-WT,PAD3,Time0,3,"2,101,75",1.4331164675451826,4.191742285968986,0.8538014093642011,5.652806477008472
2,WT,2hpi-WT,PDF1.2,Mock,3,"2,75,101",-0.16563169279992737,0.8473582648742927,0.689138345964279,0.8405780261281091
2,WT,2hpi-WT,PDF1.2,Time0,3,"2,75,101",-0.5245584061519134,0.5918166492631776,0.17973586695564037,0.11652939671018127
2,WT,2hpi-WT,PR1,Mock,3,"2,75,101",1.6997108089635555,5.472364604082574,1.0966488721953447,10.91252723902248
2,WT,2hpi-WT,PR1,Time0,3,"2,75,101",2.3447366672888457,10.430525667266647,1.9033364273431814,59.539930249937996
2,WT,2hpi-WT,WRKY29,Mock,3,"2,75,101",0.031795427010913264,1.032306301716785,0.0521615838434403,0.055275836860106814
2,WT,2hpi-WT,WRKY29,Time0,3,"2,75,101",0.6926895952825719,1.9990850387976058,0.2910737290232326,0.6754173075867685
2,rmlC,2hpi-rmlC,FRK1,Mock,3,"34,82,122",1.2732218580553076,3.5723436252139043,0.5768168031951063,2.7877217807161254
2,rmlC,2hpi-rmlC,FRK1,Time0,3,"34,82,122",3.164460477207526,23.675966862597516,1.2857950469730965,61.972859689949736
2,rmlC,2hpi-rmlC,NHL10,Mock,3,"34,122,82",1.6861796475492696,5.398815877334182,0.10954828383517408,0.625042204239953
2,rmlC,2hpi-rmlC,NHL10,Time0,3,"34,122,82",1.1670023787365007,3.2123487864139113,0.34531900951744454,1.3249025139601844
2,rmlC,2hpi-rmlC,PAD3,Mock,3,"34,122,82",2.2045768963259227,9.066414722842094,0.9439816265316414,14.236035687262696
2,rmlC,2hpi-rmlC,PAD3,Time0,3,"34,122,82",1.310153607607896,3.706743052414952,0.887028479695958,5.292874545417956
2,rmlC,2hpi-rmlC,PDF1.2,Mock,3,"34,82,122",-0.08795993108630866,0.915797571002002,0.8755904326864066,1.2823840915745357
2,rmlC,2hpi-rmlC,PDF1.2,Time0,3,"34,82,122",-1.814125106735868,0.16298043651875135,0.9527307890361238,0.25959203456597335
2,rmlC,2hpi-rmlC,PR1,Mock,2,"82,122",1.7157099005641978,5.560621599941887,0.23134438985454664,1.4473919730581135
2,rmlC,2hpi-rmlC,PR1,Time0,2,"82,122",0.6841048083635308,1.981996774209891,0.8830021174274953,2.810765525790109
2,rmlC,2hpi-rmlC,WRKY29,Mock,3,"34,82,122",0.4771975621112748,1.6115517941811308,0.729891270943927,1.7321845011298724
2,rmlC,2hpi-rmlC,WRKY29,Time0,3,"34,82,122",1.0298170253684398,2.8005533575965833,1.1694286277701198,6.217654718377409
2,tagG,2hpi-tagG,FRK1,Mock,3,"20,87,118",0.11434897895666582,1.1211433120454497,0.446208472494366,0.6305053752393703
2,tagG,2hpi-tagG,FRK1,Time0,3,"20,87,118",2.1764012071858376,8.814527452293314,0.6276931978015303,7.697588391156864
2,tagG,2hpi-tagG,NHL10,Mock,3,"20,118,87",1.5983427413462745,4.944830766558973,0.8081063910231504,6.149665265439345
2,tagG,2hpi-tagG,NHL10,Time0,3,"20,118,87",0.36801108749918343,1.4448580587476159,0.7958890139997963,1.7575405731962124
2,tagG,2hpi-tagG,PAD3,Mock,3,"20,118,87",0.15835159968958257,1.1715780487778171,0.6523259557365939,1.0778535362554515
2,tagG,2hpi-tagG,PAD3,Time0,3,"20,118,87",-1.7807513184307067,0.1685114939048934,0.5506986717761689,0.12376569595466712
2,tagG,2hpi-tagG,PDF1.2,Mock,3,"20,87,118",-0.07384158072665789,0.928818824990096,0.8520341358000286,1.2487141106625554
2,tagG,2hpi-tagG,PDF1.2,Time0,3,"20,87,118",-1.9760742182291837,0.13861233234462592,2.040177218858371,0.9275898802600737
2,tagG,2hpi-tagG,PR1,Mock,3,"20,87,118",-0.8521107477630807,0.42651371828916135,1.4701985601606031,1.4288631007858184
2,tagG,2hpi-tagG,PR1,Time0,3,"20,87,118",0.19425890871861534,1.214410663765339,0.8731312062064124,1.6933699511884082
2,tagG,2hpi-tagG,WRKY29,Mock,3,"20,87,118",-0.6355945285592545,0.5296205201732572,0.451594287078267,0.3023150827567592
2,tagG,2hpi-tagG,WRKY29,Time0,3,"20,87,118",-0.3125840857401855,0.7315541130912899,0.7765559133835481,0.8588240520167606
2,wfgD,2hpi-wfgD,FRK1,Mock,3,"21,56,110",-0.016552078619061106,0.9835841543523303,0.3189292500641385,0.36948731604821194
2,wfgD,2hpi-wfgD,FRK1,Time0,3,"21,56,110",0.7904119418258435,2.204304284382354,0.38098804197859604,1.0222022506118296
2,wfgD,2hpi-wfgD,NHL10,Mock,3,"21,110,56",0.6555753659086567,1.9262504974665862,0.781605291122903,2.2825624892145213
2,wfgD,2hpi-wfgD,NHL10,Time0,3,"21,110,56",-0.7302588758473703,0.48178425163862026,0.6633918929486761,0.4535353549268212
2,wfgD,2hpi-wfgD,PAD3,Mock,3,"21,110,56",0.333104869778563,1.3952936149300101,1.4429494608113873,4.511211648847753
2,wfgD,2hpi-wfgD,PAD3,Time0,3,"21,110,56",-1.0255465904880878,0.3586004042582617,1.3520790068908,1.027552778876259
2,wfgD,2hpi-wfgD,PDF1.2,Mock,3,"21,56,110",-0.4617680695588833,0.6301684782474342,1.4595033442374497,2.081964154272041
2,wfgD,2hpi-wfgD,PDF1.2,Time0,3,"21,56,110",-0.21943303865467179,0.8029739241070966,0.5524047964778229,0.5921339729223674
2,wfgD,2hpi-wfgD,PR1,Mock,3,"21,56,110",-0.46110842167903404,0.6305843046824926,1.3630538668769898,1.8338084870558298
2,wfgD,2hpi-wfgD,PR1,Time0,3,"21,56,110",-2.628852079347387,0.07216125010203663,0.8116099565947069,0.09031196470542932
2,wfgD,2hpi-wfgD,WRKY29,Mock,3,"21,56,110",-0.6905470611857948,0.5013017513080863,0.47367320808029045,0.3037297638175397
2,wfgD,2hpi-wfgD,WRKY29,Time0,3,"21,56,110",-0.5176676592787057,0.595908790752142,0.754398350949799,0.6711910405314359
6,Mock,6hpi-Mock,FRK1,Mock,3,"3,63,100",0,1,0,0
6,Mock,6hpi-Mock,FRK1,Time0,3,"3,63,100",0.7879458429299702,2.198874949410566,0.955151997884969,3.5161453021173785
6,Mock,6hpi-Mock,NHL10,Mock,3,"3,100,63",0,1,0,0
6,Mock,6hpi-Mock,NHL10,Time0,3,"3,100,63",-0.08023850805887056,0.9228962019529018,0.7852441211576862,1.1009618430527586
6,Mock,6hpi-Mock,PAD3,Mock,3,"3,100,63",0,1,0,0
6,Mock,6hpi-Mock,PAD3,Time0,3,"3,100,63",1.5225062892232097,4.5836988860628,0.6147200201107851,3.892196596414847
6,Mock,6hpi-Mock,PDF1.2,Mock,3,"3,63,100",0,1,0,0
6,Mock,6hpi-Mock,PDF1.2,Time0,3,"3,63,100",1.2467801095003108,3.479122509333798,0.17192848589600085,0.6526586828418468
6,Mock,6hpi-Mock,PR1,Mock,3,"3,63,100",0,1,0,0
6,Mock,6hpi-Mock,PR1,Time0,3,3,-3.2011603742105748,0.04071493200000001,NA,NA
6,Mock,6hpi-Mock,WRKY29,Mock,3,"3,63,100",0,1,0,0
6,Mock,6hpi-Mock,WRKY29,Time0,3,"3,63,100",0.8792489158226926,2.4090895976517657,0.690047820249567,2.3941794421931966
6,OBC,6hpi-OBC,FRK1,Mock,3,"5,66,124",0.2418931725844709,1.2736581239427327,0.6015590011728831,1.0507191726807281
6,OBC,6hpi-OBC,FRK1,Time0,3,"5,66,124",1.6909920998919208,5.424860039330249,0.05353472072561542,0.29833269847680344
6,OBC,6hpi-OBC,NHL10,Mock,3,"5,124,66",-0.415723601403999,0.6598626303858098,0.7363531960443018,0.7181324392063064
6,OBC,6hpi-OBC,NHL10,Time0,3,"5,124,66",-0.07143815817362109,0.9310538538853134,0.5336145194796326,0.6564714026806626
6,OBC,6hpi-OBC,PAD3,Mock,3,"5,124,66",-0.09796853292975677,0.9066774337875372,0.5120036853826231,0.6062328746704295
6,OBC,6hpi-OBC,PAD3,Time0,3,"5,124,66",1.9218259669998596,6.833424692355359,0.9118416029722186,10.174298902209912
6,OBC,6hpi-OBC,PDF1.2,Mock,3,"5,66,124",0.04721253590464629,1.0483447963133397,0.36832497688566684,0.4668401568263054
6,OBC,6hpi-OBC,PDF1.2,Time0,3,"5,66,124",-0.11543968586781768,0.8909743089587616,0.7507196285763833,0.9965761645372797
6,OBC,6hpi-OBC,PR1,Mock,3,"5,66,124",-0.38304606074966235,0.6817814951959735,0.625496152655826,0.5925861511202347
6,OBC,6hpi-OBC,PR1,Time0,3,5,4.335556359885226,76.36743485000002,NA,NA
6,OBC,6hpi-OBC,WRKY29,Mock,3,"5,66,124",-0.5635233313218623,0.5692000463582554,0.05730451321733591,0.03357041362428065
6,OBC,6hpi-OBC,WRKY29,Time0,3,"5,66,124",0.1340696139052347,1.1434724184545995,0.33610632694017967,0.45680330385928086
6,WT,6hpi-WT,FRK1,Mock,3,"4,83,116",0.9569134930267251,2.603647881453032,0.5887984560624352,2.087662531080473
6,WT,6hpi-WT,FRK1,Time0,3,"4,83,116",2.4455972333626077,11.537438084560472,0.5132362904058452,7.7380361695237285
