QUANTITY (ug),Test,Global_p,Posthoc
0.5,Kruskal-Wallis,0.423,
1,ANOVA,0.7408234762674446,
2.5,Kruskal-Wallis,0.666,
5,ANOVA,0.4984215669383718,
10,ANOVA,0.3800787375811147,
