"","gene_id.x","baseMean_col1025","log2FoldChange_col1025","lfcSE_col1025","stat_col1025","pvalue_col1025","padj_col1025","p25_id.x","dc3000_id.x","p25_id_final","logFC_tailocin","AveExpr_tailocin","t_tailocin","P.Value_tailocin","adj.P.Val_tailocin","B_tailocin","gene_id.y","baseMean_eyach1025","log2FoldChange_eyach1025","lfcSE_eyach1025","stat_eyach1025","pvalue_eyach1025","padj_eyach1025","p25_id.y","dc3000_id.y"
"1","WP_003382074.1",24.0101173954518,-2.69701095441053,0.228300896091346,-11.8134050307513,3.32804816553141e-32,1.69197968735617e-28,NA,"WP_003382074.1","BJEIHDPM_01542",-5.49064474319806,7.72272747487033,-20.2222828507351,1.03325443163342e-24,1.40073107836407e-23,45.922037878316,"WP_003382074.1",24.0101173954518,-2.19821689906431,0.229528833368879,-9.57708391926312,9.98235445969222e-22,2.48810184907829e-18,NA,"WP_003382074.1"
"2","WP_005771391.1",3.44358043481303,-4.76738704246433,0.502194213985793,-9.49311423687409,2.24233044568949e-21,3.80000266196178e-18,NA,"WP_005771391.1","BJEIHDPM_00932",-4.51505182242321,3.15757959577987,-7.32161808811662,2.79111879752571e-09,3.13616930679604e-09,11.125789790918,"WP_005771391.1",3.44358043481303,-4.93814542643964,0.521682236307893,-9.46581095302082,2.91291883479424e-21,4.84030013048309e-18,NA,"WP_005771391.1"
"3","WP_005621066.1",9.61651014286663,-4.46837075270614,0.491843579864335,-9.08494272495873,1.03753294461861e-19,1.27991399259145e-16,NA,"WP_005621066.1","BJEIHDPM_01390",-5.06373888492001,6.9336062432397,-16.7651885657175,2.28181914962851e-21,1.02054520960552e-20,38.3887925921794,"WP_005621066.1",9.61651014286663,-2.73730614972186,0.446577335915798,-6.12952321932874,8.81428113207151e-10,1.46463971477922e-07,NA,"WP_005621066.1"
"4","WP_007245578.1",5.48788538797566,-4.02316612967763,0.443867379200838,-9.06389232054212,1.25876671183266e-19,1.27991399259145e-16,NA,"WP_007245578.1","BJEIHDPM_01460",-4.71815248609023,6.50096816499654,-18.8364164381295,1.98495272290762e-23,1.63112810226604e-22,42.9168980640188,"WP_007245578.1",5.48788538797566,-4.08460518311198,0.476461110317518,-8.57279869156575,1.00999966614264e-17,7.19264047960154e-15,NA,"WP_007245578.1"
"5","WP_011103673.1",248.427218818306,3.46511598796203,0.394086283296223,8.7927850697544,1.45897410462188e-18,1.23623739131628e-15,NA,"WP_011103673.1","BJEIHDPM_03331",-5.6429287957793,6.80645337993033,-16.239968625032,8.134503406039e-21,3.13554071048845e-20,37.0548473674068,"WP_011103673.1",248.427218818306,3.5041384163342,0.39832669594501,8.79714679434379,1.40338676348432e-18,1.39917660319386e-15,NA,"WP_011103673.1"
"6","WP_005737926.1",229.91102889281,3.84869373040913,0.452862383892769,8.49859442359966,1.91900117620634e-17,1.39374313997614e-14,NA,"WP_005737926.1","BJEIHDPM_04685",-5.4073180978728,6.04817027553909,-14.3397599111361,1.04046298699059e-18,2.47309652034068e-18,32.3124126188204,"WP_005737926.1",229.91102889281,3.6494699902803,0.45777756515918,7.97214688537936,1.55941302268007e-15,7.77367391806016e-13,NA,"WP_005737926.1"
"7","WP_005731386.1",1.75242880747125,-4.79580127924895,0.573164095095003,-8.36723953975874,5.89837137298852e-17,3.7484150075342e-14,NA,"WP_005731386.1","BJEIHDPM_03471",-4.44503070592095,3.55016846866928,-9.37927824475782,2.63595380108481e-12,3.26197583584477e-12,17.8638842099383,"WP_005731386.1",1.75242880747125,-4.40598801783242,0.582304404741483,-7.56646864072491,3.83506710303351e-14,1.59315079238517e-11,NA,"WP_005731386.1"
"8","WP_005763762.1",12.9771592503911,-2.29435392540507,0.275503397420527,-8.32786073379336,8.2316267324199e-17,4.64995447862475e-14,NA,"WP_005763762.1","BJEIHDPM_02343",-5.08127437316489,7.15162449691965,-20.7312508229987,3.63367222862325e-25,5.79335316450597e-24,46.8486848758372,"WP_005763762.1",12.9771592503911,-2.84171841581594,0.302730737196655,-9.38695040394908,6.17625839547481e-21,7.69716202536048e-18,NA,"WP_005763762.1"
"9","WP_005615366.1",14.2637194535234,-2.2903908417431,0.298697202630728,-7.66793535918933,1.74786927853459e-14,8.88616741206985e-12,NA,"WP_005615366.1","BJEIHDPM_00801",-4.60026521887584,6.205859725519,-13.7191238231905,5.55636396236002e-18,1.1493530454899e-17,30.7175827203991,"WP_005615366.1",14.2637194535234,-2.03099206738248,0.304941436800283,-6.66026922642409,2.73326429758675e-11,6.27158491087832e-09,NA,"WP_005615366.1"
"10","BJEIHDPM_02221",80.1446955304171,2.02337662529605,0.265897570645453,7.60960929573146,2.74925737634071e-14,1.27065677284692e-11,"BJEIHDPM_02221",NA,"BJEIHDPM_02221",-4.92781958871313,6.21117926924566,-14.4698173191826,7.36714807857345e-19,1.80474444252547e-18,32.6892819607172,"BJEIHDPM_02221",80.1446955304171,2.12005717832024,0.269144162570796,7.8770319893621,3.35249104552318e-15,1.51928798744846e-12,"BJEIHDPM_02221",NA
