strain,HTF_length_haplotype,OBC_presence
plate12.H9,NA,Absent
plate13.A1,1245,Present
plate13.A10,1245,Present
plate13.A11,1245,Present
plate13.A2,1245,Present
plate13.A3,1803,Present
plate13.A4,1803,Present
plate13.A8,1803,Present
plate13.B1,1245,Present
plate13.B10,1245,Present
plate13.B2,1245,Present
plate13.B3,1803,Present
plate13.B4,NA,Absent
plate13.B5,NA,Absent
plate13.B6,1803,Present
plate13.B7,1803,Present
plate13.B8,1803,Present
plate13.B9,1245,Present
plate13.C1,1245,Present
plate13.C10,NA,Absent
plate13.C11,1383,Absent
plate13.C12,1803,Present
plate13.C2,1245,Present
plate13.C3,1803,Present
plate13.C5,1803,Present
plate13.C6,1803,Present
plate13.C7,1803,Present
plate13.C8,1803,Present
plate13.C9,1803,Present
plate13.D1,1245,Present
plate13.D10,1383,Absent
plate13.D11,NA,Absent
plate13.D12,1245,Present
plate13.D2,1245,Present
plate13.D3,1803,Present
plate13.D5,NA,Absent
plate13.D6,1803,Present
plate13.D7,1803,Present
plate13.D8,1803,Present
plate13.D9,1803,Present
plate13.E1,NA,Absent
plate13.E10,1245,Present
plate13.E11,1245,Present
plate13.E11,1245,Present
plate13.E12,1803,Present
plate13.E13,1803,Absent
plate13.E2,1803,Present
plate13.E3,1245,Present
plate13.E4,1383,Absent
plate13.E6,1245,Present
plate13.E7,1245,Present
plate13.E8,1803,Present
plate13.E9,1803,Present
plate13.F1,NA,Present
plate13.F10,1245,Present
plate13.F11,1245,Present
plate13.F12,1383,Absent
plate13.F2,1245,Present
plate13.F3,1830,Absent
plate13.F4,1383,Absent
plate13.F5,NA,Absent
plate13.F6,1803,Present
plate13.F7,1245,Present
plate13.F8,1803,Present
plate13.F9,1803,Present
plate13.G1,1383,Absent
plate13.G10,NA,Absent
plate13.G2,1803,Present
plate13.G3,1803,Present
plate13.G4,1803,Present
plate13.G5,1803,Present
plate13.G6,1803,Present
plate13.G7,1803,Present
plate13.G8,1803,Present
plate13.H10,1245,Present
plate13.H11,1830,Absent
plate13.H12,1803,Present
plate13.H2,1803,Present
plate13.H2,rare,Present
plate13.H3,1245,Present
plate13.H4,1803,Present
plate13.H5,1803,Present
plate13.H6,1245,Present
plate13.H7,1803,Present
plate13.H9,NA,Absent
plate2.A1,1830,Absent
plate2.A10,1803,Present
plate2.A11,1383,Absent
plate2.A2,1830,Absent
plate2.A5,1803,Present
plate2.A6,1803,Present
plate2.A7,1245,Present
plate2.A8,1245,Present
plate2.A9,1803,Present
plate2.B1,1383,Absent
plate2.B10,1803,Present
plate2.B2,1803,Present
plate2.B3,1803,Present
