strain,HTF_length_haplotype,OBC_presence
plate3.H6,1803,Present
plate3.H7,1803,Present
plate3.H8,1803,Present
plate3.H9,1383,Absent
plate4.A1,1830,Absent
plate4.A10,1803,Present
plate4.A11,1383,Absent
plate4.A2,1830,Absent
plate4.A5,1803,Present
plate4.A6,1803,Present
plate4.A7,NA,Absent
plate4.A8,NA,Absent
plate4.A9,1803,Present
plate4.B1,1383,Absent
plate4.B10,1803,Present
plate4.B11,1803,Present
plate4.B2,1803,Present
plate4.B3,1803,Present
plate4.B4,NA,Absent
plate4.B5,NA,Absent
plate4.B7,1803,Present
plate4.B8,1803,Present
plate4.B9,1803,Present
plate4.C1,1245,Present
plate4.C10,1803,Present
plate4.C11,1803,Present
plate4.C2,1803,Present
plate4.C3,1803,Present
plate4.C5,NA,Absent
plate4.C6,NA,Absent
plate4.C7,1803,Present
plate4.C8,1245,Present
plate4.C9,1245,Present
plate4.D1,1245,Present
plate4.D10,1803,Present
plate4.D11,NA,Absent
plate4.D2,1383,Absent
plate4.D3,1245,Present
plate4.D4,NA,Absent
plate4.D6,1245,Present
plate4.D8,1245,Present
plate4.D9,1245,Present
plate4.E1,1803,Present
plate4.E3,NA,Absent
plate4.E4,1245,Present
plate4.E5,1245,Present
plate4.E6,1245,Present
plate4.E8,1245,Present
plate4.E9,1803,Present
plate4.F1,1830,Absent
plate4.F10,1245,Present
plate4.F11,1245,Present
plate4.F12,1245,Present
plate4.F2,1830,Absent
plate4.F3,1830,Absent
plate4.F4,1245,Present
plate4.F5,1245,Present
plate4.F8,NA,Absent
plate4.F9,1245,Present
plate4.G1,NA,Absent
plate4.G11,NA,Absent
plate4.G2,NA,Absent
plate4.G3,NA,Absent
plate4.G4,1830,Absent
plate4.G6,NA,Absent
plate4.G8,1245,Present
plate4.G9,1830,Absent
plate4.H1,NA,Absent
plate4.H10,NA,Absent
plate4.H11,NA,Absent
plate4.H2,NA,Absent
plate4.H3,NA,Absent
plate4.H4,NA,Present
plate4.H5,NA,Absent
plate4.H6,NA,Absent
plate4.H8,1830,Absent
plate4.H9,1803,Present
plate5.A1,1245,Present
plate5.A10,1245,Present
plate5.A11,1245,Present
plate5.A12,1245,Present
plate5.A2,1245,Present
plate5.A3,1803,Present
plate5.A4,1803,Present
plate5.A5,NA,Absent
plate5.A6,1803,Present
plate5.A7,1803,Present
plate5.A8,1803,Present
plate5.A9,1830,Absent
plate5.B1,1245,Present
plate5.B10,1245,Present
plate5.B11,1245,Present
plate5.B2,1245,Present
plate5.B3,1803,Present
plate5.B4,1803,Present
plate5.B5,1803,Present
plate5.B6,1803,Present
plate5.B7,1803,Present
plate5.B8,1803,Present
plate5.B9,1830,Absent
plate5.C1,1245,Present
plate5.C10,1803,Present
plate5.C2,1383,Absent
plate5.C3,1245,Present
plate5.C4,NA,Absent
plate5.C5,1803,Present
plate5.C6,1803,Present
plate5.C7,1803,Present
plate5.C8,1803,Present
plate5.C9,1803,Present
plate5.D1,1803,Present
plate5.D10,1803,Present
plate5.D12,1803,Present
plate5.D2,1245,Present
plate5.D3,1245,Present
plate5.D4,1803,Present
plate5.D5,1803,Present
plate5.D6,1803,Present
plate5.D7,1803,Present
plate5.D8,1803,Present
plate5.D9,1803,Present
plate5.E1,1383,Absent
plate5.E10,1803,Present
plate5.E11,1245,Present
plate5.E12,1803,Present
plate5.E2,1803,Present
plate5.E3,1245,Present
plate5.E4,1245,Present
plate5.E6,1803,Present
plate5.E7,1245,Present
plate5.E8,1245,Present
plate5.E9,1803,Present
plate5.F1,1803,Present
plate5.F10,1245,Present
plate5.F11,1803,Present
plate5.F2,NA,Absent
plate5.F3,1245,Present
plate5.F4,1245,Present
plate5.F5,1803,Present
plate5.F6,1803,Present
plate5.F7,1245,Present
plate5.F8,1803,Present
plate5.F9,1803,Present
plate5.G1,1245,Present
plate5.G11,1830,Absent
plate5.G12,1830,Absent
plate5.G2,1803,Present
plate5.G3,1803,Present
plate5.G4,1803,Present
plate5.G5,1245,Present
plate5.G6,1803,Present
plate5.G7,1245,Present
plate5.G8,1383,Absent
plate5.G9,1383,Absent
plate5.H1,1245,Present
plate5.H11,1830,Absent
plate5.H2,1383,Absent
plate5.H4,1803,Present
plate5.H5,1245,Present
plate5.H6,1245,Present
plate5.H7,1803,Present
plate5.H8,1803,Present
plate5.H9,1803,Present
plate6.A1,1830,Absent
plate6.A10,1803,Present
plate6.A11,1383,Absent
plate6.A5,1803,Present
plate6.A6,1803,Present
plate6.A7,1383,Absent
plate6.A8,1245,Present
plate6.A9,1803,Present
plate6.B1,1383,Absent
plate6.B10,1803,Present
plate6.B11,1803,Present
plate6.B2,1245,Present
plate6.B3,1803,Present
plate6.B4,NA,Absent
plate6.B5,NA,Absent
plate6.B6,1803,Present
plate6.B7,1803,Present
plate6.B8,1245,Present
plate6.B9,1803,Present
plate6.C1,1383,Absent
plate6.C10,1803,Present
plate6.C11,1803,Present
plate6.C2,1803,Present
plate6.C3,1803,Present
plate6.C4,NA,Absent
plate6.C5,NA,Absent
plate6.C6,1803,Present
plate6.C7,1803,Present
plate6.C8,1803,Present
plate6.C9,1803,Present
plate6.D1,1383,Absent
plate6.D10,NA,Absent
plate6.D11,1830,Absent
plate6.D2,1803,Present
plate6.D3,1245,Present
plate6.D4,1245,Present
plate6.D5,1245,Present
plate6.D6,1245,Present
plate6.D7,1245,Present
plate6.D8,1245,Present
plate6.D9,1803,Present
plate6.E1,1245,Present
plate6.E10,1803,Present
plate6.E11,NA,Absent
plate6.E2,1803,Present
plate6.E3,rare,Present
plate6.E3,1245,Present
plate6.E4,1803,Present
plate6.E6,1245,Present
plate6.E7,1245,Present
plate6.E8,1245,Present
plate6.E9,NA,Absent
plate6.F1,NA,Absent
plate6.F10,1245,Present
plate6.F11,1245,Present
plate6.F12,1245,Present
plate6.F2,1830,Absent
plate6.F3,1245,Present
plate6.F4,1245,Present
plate6.F5,1245,Present
plate6.F8,1803,Present
plate6.F9,1245,Present
plate6.G1,NA,Absent
plate6.G10,NA,Absent
plate6.G2,NA,Absent
plate6.G3,NA,Absent
plate6.G4,NA,Present
plate6.G5,1245,Present
plate6.G6,NA,Absent
plate6.G8,1830,Absent
plate6.G9,1830,Absent
plate6.H1,1383,Absent
plate6.H10,1803,Present
plate6.H11,1383,Absent
plate6.H2,NA,Absent
plate6.H5,NA,Absent
plate6.H6,NA,Present
plate6.H7,1245,Present
plate6.H8,1245,Present
plate6.H9,1803,Present
plate7.A1,1245,Present
plate7.A10,1245,Present
plate7.A11,1245,Present
plate7.A12,1245,Present
plate7.A2,1245,Present
plate7.A3,1803,Present
plate7.A4,1803,Present
plate7.A5,1803,Present
plate7.A6,1803,Present
plate7.A7,1803,Present
plate7.A8,1803,Present
plate7.A9,NA,Absent
plate7.B1,1245,Present
plate7.B10,1245,Present
plate7.B11,1245,Present
plate7.B2,1245,Present
plate7.B3,1803,Present
plate7.B4,1245,Present
plate7.B5,1803,Present
plate7.B6,1803,Present
plate7.B7,1803,Present
plate7.B8,1803,Present
plate7.C1,1245,Present
plate7.C12,1245,Present
plate7.C2,1245,Present
plate7.C3,1803,Present
plate7.C4,1803,Present
plate7.C5,1803,Present
plate7.C6,1803,Present
plate7.C7,1803,Present
plate7.C8,1803,Present
plate7.C9,1803,Present
plate7.D1,1383,Absent
plate7.D10,1245,Present
plate7.D12,1383,Absent
plate7.D2,1245,Present
plate7.D3,1245,Present
plate7.D4,1803,Present
plate7.D5,1803,Present
plate7.D6,1803,Present
plate7.D7,1803,Present
plate7.D8,1803,Present
plate7.D9,1803,Present
plate7.E1,1803,Present
plate7.E10,1803,Present
plate7.E11,1245,Present
plate7.E12,1803,Present
plate7.E2,NA,Absent
plate7.E3,1245,Present
plate7.E4,1383,Absent
plate7.E5,1245,Present
plate7.E6,1245,Present
plate7.E7,1383,Absent
plate7.E8,1803,Present
plate7.E9,1245,Present
plate7.F1,1803,Present
plate7.F10,1245,Present
plate7.F12,1803,Present
plate7.F2,NA,Absent
plate7.F3,1245,Present
plate7.F4,1383,Absent
plate7.F5,1803,Present
plate7.F6,1245,Present
plate7.F7,1245,Present
plate7.F9,1803,Present
plate7.G1,1803,Present
plate7.G11,1830,Absent
plate7.G2,1383,Absent
plate7.G3,1383,Absent
plate7.G4,1803,Present
plate7.G5,1245,Present
plate7.G6,1245,Present
plate7.G7,1803,Present
plate7.G8,1803,Present
plate7.G9,NA,Absent
plate7.H1,1803,Present
plate7.H10,1830,Absent
plate7.H11,1830,Absent
plate7.H2,1803,Present
plate7.H3,1383,Absent
plate7.H4,1803,Present
plate7.H5,1245,Present
plate7.H6,1803,Present
plate7.H7,1803,Present
plate7.H8,1803,Present
plate7.H9,NA,Absent
plate8.A1,1830,Absent
plate8.A1,1830,Absent
plate8.A10,1383,Absent
plate8.A11,1383,Absent
plate8.A2,1383,Absent
plate8.A5,1245,Present
plate8.A7,1245,Absent
plate8.A8,NA,Absent
plate8.A9,1803,Present
plate8.B2,1803,Present
plate8.B3,1803,Present
plate8.B4,NA,Absent
plate8.B5,1803,Present
plate8.B6,1245,Present
plate8.B7,1803,Present
plate8.B8,1803,Present
plate8.B9,1803,Present
plate8.C1,1383,Absent
plate8.C2,1803,Present
plate8.C3,1803,Present
plate8.C4,1383,Absent
plate8.C5,NA,Absent
plate8.C6,1803,Present
plate8.C7,1245,Present
plate8.C8,1803,Present
plate8.C9,1803,Present
plate8.D1,1245,Present
plate8.D10,NA,Absent
plate8.D11,NA,Absent
plate8.D2,1803,Present
plate8.D3,NA,Absent
plate8.D4,NA,Absent
plate8.D5,1245,Present
plate8.D6,1245,Present
plate8.D8,1245,Present
plate8.D9,1803,Present
plate8.E1,1245,Present
plate8.E10,1803,Present
plate8.E11,NA,Absent
plate8.E2,1803,Present
plate8.E3,NA,Absent
plate8.E4,1383,Absent
plate8.E5,1803,Present
plate8.E6,1245,Present
plate8.E7,1245,Present
plate8.E8,1245,Present
plate8.E9,1803,Present
plate8.F1,1830,Absent
plate8.F10,1245,Present
plate8.F11,1245,Present
plate8.F12,1245,Present
plate8.F2,1830,Absent
plate8.F3,1245,Present
plate8.F4,1245,Present
plate8.F5,1245,Present
plate8.F8,1803,Present
plate8.G1,NA,Absent
plate8.G10,NA,Absent
plate8.G2,NA,Absent
plate8.G3,NA,Present
plate8.G4,NA,Absent
plate8.G5,NA,Absent
plate8.G6,1383,Absent
plate8.G7,1830,Absent
plate8.G8,NA,Present
plate8.G9,NA,Absent
plate8.H1,NA,Absent
plate8.H2,NA,Absent
plate8.H3,NA,Absent
plate8.H4,NA,Present
plate8.H5,NA,Absent
plate8.H6,NA,Absent
plate8.H7,1830,Absent
plate8.H8,1245,Present
plate8.H9,NA,Absent
plate9.A1,1245,Present
plate9.A10,1245,Present
plate9.A11,1245,Present
plate9.A2,1245,Present
plate9.A3,1803,Present
plate9.A4,1803,Present
plate9.A5,1803,Present
plate9.A6,1803,Present
plate9.A7,1803,Present
plate9.A8,1803,Present
plate9.A9,1245,Present
plate9.B1,1245,Present
plate9.B10,1245,Present
plate9.B11,1245,Present
plate9.B12,1803,Present
plate9.B2,1245,Present
plate9.B3,1803,Present
plate9.B4,1803,Present
plate9.B5,1803,Present
plate9.B6,1803,Present
plate9.B7,1803,Present
plate9.B8,1803,Present
plate9.B9,1245,Present
plate9.C1,1245,Present
plate9.C10,1803,Present
plate9.C11,1803,Present
plate9.C12,1383,Absent
plate9.C2,1245,Present
plate9.C3,1383,Absent
plate9.C4,NA,Present
plate9.C5,1803,Present
plate9.C6,1803,Present
plate9.C7,1803,Present
plate9.C8,1803,Present
plate9.C9,1803,Present
plate9.D1,1245,Present
plate9.D10,NA,Absent
plate9.D12,1803,Present
plate9.D2,1245,Present
plate9.D3,1383,Present
plate9.D4,NA,Absent
plate9.D5,1803,Present
plate9.D6,1803,Present
plate9.D7,1803,Present
plate9.D8,1803,Present
plate9.D9,1803,Present
plate9.E1,1383,Absent
plate9.E10,1245,Present
plate9.E11,1245,Present
plate9.E2,1245,Present
plate9.E3,1245,Present
plate9.E4,1383,Absent
plate9.E5,1803,Present
plate9.E6,1383,Absent
plate9.E7,1245,Present
plate9.E8,1803,Present
plate9.E9,1803,Present
plate9.F1,1803,Present
plate9.F10,1245,Present
plate9.F11,1245,Present
plate9.F2,1245,Present
plate9.F3,1245,Present
plate9.F4,1383,Absent
plate9.F5,1245,Present
plate9.F6,1245,Present
plate9.F7,1245,Present
plate9.F8,1830,Absent
plate9.F9,1803,Present
plate9.G1,1803,Present
plate9.G10,1830,Absent
plate9.G12,1383,Absent
plate9.G2,1383,Absent
plate9.G3,1383,Absent
plate9.G4,1245,Present
plate9.G5,1245,Present
plate9.G6,1245,Present
plate9.G7,1245,Present
plate9.G8,1803,Present
plate9.H1,1803,Present
plate9.H10,NA,Absent
plate9.H2,1245,Present
plate9.H2,1245,Present
plate9.H3,1803,Present
plate9.H4,1803,Present
plate9.H5,1245,Present
plate9.H6,1803,Present
plate9.H7,1803,Present
plate9.H8,NA,Absent
plate9.H9,NA,Absent
BAV2572,1383,Absent
CDRTc14,1671,Absent
CH409,1803,Absent
DSM,6694,Absent
CFBP,1590,Absent
ICMP,3272,Absent
ICMP,8820,Absent
ICMP,19473,Absent
LMCA8,1245,Absent
Pvir12_2,1134,Absent
SV1779,1671,Absent
T157,1245,Absent
