tnseq_ID,baseMean_Ey,log2FoldChange_Ey,pvalue_Ey,padj_Ey,logFC_tailocin,AveExpr_tailocin,t_tailocin,P.Value_tailocin,adj.P.Val_tailocin,Significance_for_both,Category,name_p25c2_new
BJEIHDPM_01452,1.77870544518439,-1.32554260671728,0.0187714671851398,0.091702224394473,-5.331738052,4.029276246,-10.08684283,2.66015977005605E-13,3.41888236114059E-13,Significant,Mutual Detriment,DAKCFMEO_05079
BJEIHDPM_01453,4.34211772527295,1.21576698668046,0.0348009001547074,0.138425926872356,-4.919843082,3.634494944,-9.898615826,4.86762775528527E-13,6.17492614264182E-13,Significant,Non-Focal Trade-off,DAKCFMEO_05080
BJEIHDPM_01456,0.525772863186988,-0.457537558916721,0.69058500495326,0.822074201408151,-2.111866568,2.11192334,-3.298037314,0.001869199,0.001882931,Not Significant,Mutual Detriment,DAKCFMEO_05083
BJEIHDPM_01457,33.2770488279083,0.11806164305587,0.702617661072669,0.8312791204449,-5.495173126,6.712128093,-21.42519886,9.03337818463259E-26,2.03526675624656E-24,Not Significant,Non-Focal Trade-off,DAKCFMEO_05084
BJEIHDPM_01458,16.3720595956016,0.148242415908286,0.692929883127102,0.8230998945387,-5.385528288,5.367834441,-12.64830007,1.11809829031413E-16,1.88934989268222E-16,Not Significant,Non-Focal Trade-off,DAKCFMEO_04481
BJEIHDPM_01458,16.3720595956016,0.148242415908286,0.692929883127102,0.8230998945387,-5.385528288,5.367834441,-12.64830007,1.11809829031413E-16,1.88934989268222E-16,Not Significant,Non-Focal Trade-off,DAKCFMEO_05085
BJEIHDPM_01458,16.3720595956016,0.148242415908286,0.692929883127102,0.8230998945387,-5.385528288,5.367834441,-12.64830007,1.11809829031413E-16,1.88934989268222E-16,Not Significant,Non-Focal Trade-off,DAKCFMEO_04481
BJEIHDPM_01460,4.52225979151356,-4.06809101089844,2.16195882045842E-16,9.62071675103995E-14,-4.718152486,6.500968165,-18.83641644,1.98495272290762E-23,1.63112810226604E-22,Significant,Mutual Detriment,DAKCFMEO_05087
BJEIHDPM_01461,4.10578079179992,-2.50324120454696,4.53019010726024E-06,0.000212203641866401,-5.578176072,5.603778693,-16.15692477,9.97183127235488E-21,3.74744074205412E-20,Significant,Mutual Detriment,DAKCFMEO_05088
BJEIHDPM_01462,21.2377392291606,-0.0040828343857413,0.990732892246406,0.997181416004854,-5.551964847,5.977532393,-16.10166687,1.14236167120362E-20,4.23008770069923E-20,Not Significant,Mutual Detriment,DAKCFMEO_05089
BJEIHDPM_01463,61.5385745111137,0.312849144955868,0.265760290988529,0.481200879411538,-5.610975131,7.426000705,-17.67489297,2.69829502588599E-22,1.53972863605551E-21,Not Significant,Non-Focal Trade-off,DAKCFMEO_05090
BJEIHDPM_01464,54.4279032488568,0.284678225313228,0.278652515119826,0.494025375411644,-5.01756214,7.707184733,-21.54819028,7.08575521549816E-26,1.69757327831751E-24,Not Significant,Non-Focal Trade-off,DAKCFMEO_05091
BJEIHDPM_01465,80.2459912775179,0.339565211678447,0.120953641763997,0.30231433964331,-5.155687023,8.074441513,-20.83348371,2.95302792820711E-25,4.88675207843653E-24,Not Significant,Non-Focal Trade-off,DAKCFMEO_05092
