...1,p25c2_ID,DC3000_ID,baseMean_col1025,log2FoldChange_col1025,lfcSE_col1025,stat_col1025,pvalue_col1025,padj_col1025,logFC_tailocin,AveExpr_tailocin,t_tailocin,P.Value_tailocin,adj.P.Val_tailocin,B_tailocin,baseMean_eyach1025,log2FoldChange_eyach1025,lfcSE_eyach1025,stat_eyach1025,pvalue_eyach1025,padj_eyach1025,gene_or_product,significance,logFC_category
521,BJEIHDPM_02277,NA,6.79535258632008,-2.28439821008225,0.468560789080712,-4.87535078332973,1.08615272599529e-6,8.24179172979115e-5,3.55950107229338,8.19531762012953,11.7883611088019,1.3839691635321902e-15,2.0671235654500303e-15,25.1902537622221,6.79535258632008,-1.57009369700811,0.467295368097602,-3.3599598973131,7.7953787066804e-4,0.0147756512748297,NA,both,logFC_both
738,BJEIHDPM_03520,NA,10.489239120447,-0.790051956781106,0.347516558953291,-2.27342247851647,0.0230007328187954,0.128783838822418,0.632992561014333,6.69425036503277,2.16720481185091,0.0353629048253798,0.035503468673012,-4.99290220770432,10.489239120447,0.140160586334906,0.345338899517069,0.405863881916893,0.684842617500643,0.863632797429978,NA,col0 only,logFC_col0 only
1458,BJEIHDPM_02879,WP_003377577.1,3.60260986909264,-1.28063922016675,0.562279603999952,-2.27758433892413,0.022751354462167,0.12808567779656,2.39632459077006,6.60828565466625,7.46711387718726,1.6869865599480201e-9,1.9089480078261103e-9,11.3152873946311,3.60260986909264,-0.36522146551626,0.556648001372283,-0.656108464623771,0.511754338518043,0.751648608577621,BolA-like protein,col0 only,logFC_both
2052,BJEIHDPM_04292,WP_005762667.1,11.469285756046,-0.0920877553671598,0.299803851079892,-0.307160014907948,0.758721578771814,0.89643051510014,3.43632960597344,6.51447542382357,12.0063288184666,7.24881674777563e-16,1.1149702427107501e-15,25.9369819255318,11.469285756046,-0.709713287119324,0.315684070341011,-2.24817579915474,0.0245649822162616,0.138263790950442,hypothetical protein,eyach only,logFC_both
2094,BJEIHDPM_01314,WP_005762973.1,8.67239599911354,-1.15174494028581,0.509251965743957,-2.26164063717113,0.0237196151406556,0.131285308410734,5.49866042130761,9.5170611678659,31.3307934931918,5.77723689970996e-33,3.9607085545297296e-30,64.9514311893944,8.67239599911354,-1.47949034105402,0.524981630711271,-2.81817544558566,0.00482974111753875,0.0526832811180103,hypothetical protein,both,logFC_both
2114,BJEIHDPM_01216,WP_005763096.1,16.0390204178834,0.08328242956997,0.379219802231932,0.219615191716793,0.826170858965973,0.930995184657427,1.19866123586982,8.2247724622103,5.5187035821922,1.46125784377385e-6,1.53885810670851e-6,4.34381519868076,16.0390204178834,-0.907043885070424,0.394197092984525,-2.30099080184245,0.0213921510007315,0.126801275551304,ureC_2,eyach only,logFC_eyach only
2261,BJEIHDPM_00728,WP_005764049.1,28.3551356532739,-0.774847446637831,0.327576434846975,-2.36539434529164,0.0180108815558759,0.112852268802555,0.70376665625391,8.13416325086069,2.88598906511638,0.00589409588573832,0.00592993001166838,-3.65871859871425,28.3551356532739,0.154855345129898,0.328750545885485,0.47104209276002,0.63761067614761,0.82960604738151,ugpC_1,col0 only,logFC_col0 only
2396,BJEIHDPM_03096,WP_005764771.1,17.7999076701368,-0.709340194799418,0.309620904285686,-2.29099581126768,0.0219636559250648,0.125182989599809,0.530365218923112,7.88183329696658,2.24487030739532,0.0295621715251972,0.0296921015381794,-5.09813725760066,17.7999076701368,0.063288352735572,0.310344548233148,0.203929320156854,0.838408732334585,0.933959224734728,cmoB,col0 only,logFC_col0 only
2744,BJEIHDPM_03578,WP_005767033.1,16.0694709332857,-0.806665057619302,0.292456083572279,-2.75824338398465,0.00581129124637352,0.053580757914134,1.71852958430426,8.82182940772296,11.1927998422269,8.35849908250703e-15,1.17253543107136e-14,23.2736467696579,16.0694709332857,-0.90043357769664,0.300970790431207,-2.99176400609033,0.00277370590743654,0.0370695012026036,flgE,both,logFC_both
3295,BJEIHDPM_00926,WP_005771397.1,6.39928338985668,-0.964209591195362,0.457627404868613,-2.10697519627827,0.0351197296495815,0.16644168564043,5.652510853321,7.78331472155059,25.7698376394213,3.19541475985794e-29,6.13391817302329e-27,56.2116289611489,6.39928338985668,-0.73096157823127506,0.465772829358895,-1.56935212222962,0.1165659135092,0.347952741822371,rmlC_1,col0 only,logFC_both
