well,strain,phenotype,rep
HX1,plainLB,clear,2
HX2,p25C2,no aggregation,2
HX3,∆wfgD,aggregation,2
HX4,plainLB,clear,2
HX5,plainLB,clear,2
HX6,plainLB,clear,2
HX7,∆tagH,aggregation,2
HX8,∆rmlC,no aggregation,2
HX9,plainLB,clear,2
HX10,∆epsE,aggregation,2
HX11,plainLB,clear,2
HX12,∆wfgD,aggregation,2
AX1,∆epsE,aggregation,3
AX2,plainLB,clear,3
AX3,∆tagH,aggregation,3
AX4,∆rmlC,no aggregation,3
AX5,∆wfgD,aggregation,3
AX6,plainLB,aggregation,3
AX7,∆tagG,aggregation,3
AX8,p25C2,no aggregation,3
AX9,∆tagH,aggregation,3
AX10,∆rmlC,no aggregation,3
AX11,∆epsE,aggregation,3
AX12,plainLB,clear,3
BX1,∆rmlC,no aggregation,3
BX2,∆rmlC,no aggregation,3
BX3,∆tagG,aggregation,3
BX4,∆spsA,aggregation,3
BX5,∆tagG,aggregation,3
BX6,plainLB,aggregation,3
BX7,∆spsA,aggregation,3
BX8,∆tagG,aggregation,3
BX9,p25C2,no aggregation,3
BX10,plainLB,clear,3
BX11,p25C2,no aggregation,3
BX12,∆wfgD,aggregation,3
CX1,∆epsE,aggregation,3
CX2,plainLB,clear,3
CX3,∆tagG,aggregation,3
CX4,∆epsE,aggregation,3
CX5,plainLB,clear,3
CX6,∆tagH,aggregation,3
CX7,plainLB,clear,3
CX8,∆wfgD,aggregation,3
CX9,∆wfgD,aggregation,3
CX10,plainLB,clear,3
CX11,plainLB,clear,3
CX12,∆epsE,aggregation,3
DX1,∆spsA,aggregation,3
DX2,∆tagH,aggregation,3
DX3,p25C2,no aggregation,3
DX4,∆rmlC,no aggregation,3
DX5,∆tagH,aggregation,3
DX6,∆wfgD,aggregation,3
DX7,p25C2,no aggregation,3
DX8,∆rmlC,no aggregation,3
DX9,plainLB,clear,3
DX10,∆epsE,aggregation,3
DX11,∆rmlC,no aggregation,3
DX12,∆rmlC,no aggregation,3
EX1,p25C2,clear,3
EX2,∆tagG,aggregation,3
EX3,∆spsA,aggregation,3
EX4,p25C2,no aggregation,3
EX5,∆spsA,aggregation,3
EX6,p25C2,no aggregation,3
EX7,∆tagH,aggregation,3
EX8,∆tagH,aggregation,3
EX9,∆spsA,aggregation,3
EX10,∆epsE,aggregation,3
EX11,plainLB,aggregation,3
EX12,∆epsE,aggregation,3
FX1,plainLB,clear,3
FX2,∆spsA,aggregation,3
FX3,plainLB,clear,3
FX4,plainLB,clear,3
FX5,p25C2,no aggregation,3
FX6,∆rmlC,no aggregation,3
FX7,∆wfgD,aggregation,3
FX8,plainLB,clear,3
FX9,∆tagG,aggregation,3
FX10,∆wfgD,aggregation,3
FX11,∆tagH,aggregation,3
FX12,∆spsA,aggregation,3
GX1,plainLB,clear,3
GX2,∆wfgD,aggregation,3
GX3,∆rmlC,no aggregation,3
GX4,∆tagH,aggregation,3
GX5,∆tagG,aggregation,3
GX6,∆epsE,aggregation,3
GX7,p25C2,no aggregation,3
GX8,plainLB,aggregation,3
GX9,∆tagG,aggregation,3
GX10,plainLB,clear,3
GX11,∆epsE,aggregation,3
GX12,p25C2,no aggregation,3
HX1,∆epsE,aggregation,3
HX2,∆wfgD,aggregation,3
HX3,plainLB,clear,3
HX4,∆spsA,aggregation,3
HX5,∆epsE,aggregation,3
HX6,∆wfgD,aggregation,3
HX7,∆tagH,aggregation,3
HX8,∆tagG,aggregation,3
HX9,∆spsA,aggregation,3
HX10,∆rmlC,no aggregation,3
HX11,∆spsA,aggregation,3
HX12,plainLB,aggregation,3
